Category,Level,Subfolder,ViewName,GUID,CommentID,Status,User,Body,CreatedDate,ImagePath
CLASHES ,LEVEL 8 ,,TAG 43 EE,ba35f232-b380-46b3-b78f-65170d5c0fce,43,new,abner,MISSING LIGHTS AND WRONG ELEVATION IN THE CORRIDOR ,2025/09/16,vp0076.jpg
CLASHES ,LEVEL 8.5,,TAG 44 SHEARWALL PENETRATIONS ,7c4276cb-d14e-4415-b2de-8fbdfc1578bb,44,new,abner,PIPES CROSSING THE SHEARWALL ,2025/09/16,vp0077.jpg
CLASHES ,LEVEL 8.5,,TAG 45 SHEARWALL PENETRATIONS,bc66656d-4e42-4cca-94f8-cc3e7f62c984,45,new,abner,PIPES CROSSING THE SHEARWALL ,2025/09/16,vp0078.jpg
CLASHES ,LEVEL 8.5,,TAG 46 SHEARWALL PENETRATIONS ,f71a516e-6d4f-4faa-b4bc-9e211ccf98ee,46,new,abner,PIPES CROSSING THE SHEARWALL ,2025/09/16,vp0079.jpg
CLASHES ,LEVEL 8.5,,TAG 47 SHEARWALL PENETRATIONS,307df2c7-38dd-4369-84c3-b507b7b54a96,47,new,abner,,2025/09/16,vp0080.jpg
CLASHES ,LEVEL 8.5,,TAG 48 PIPE IN CONFLICT ,86a56fcb-2ddc-4451-b571-d93cfe35da30,48,new,abner,PIPES IN CONFLICT WITH BEAM,2025/09/16,vp0081.jpg
CLASHES ,LEVEL 8.5,,"TAG 49 PL VS MD, ST",2a9b0ae4-05bf-4fc8-9deb-7b8b42c43884,49,new,abner,PIPE IN CONFLICT WITH BEAM AND MD ,2025/09/16,vp0082.jpg
CLASHES ,LEVEL 9,,TAG 51 FD INSIDE SHEARWALL ,f0fbbe10-e268-4ded-82d4-264f7c4abb9a,51,new,abner,FIRE DAMPER INSIDE THW SHEARWALL ,2025/09/16,vp0083.jpg
CLASHES ,LEVEL 9,,TAG 52 MD BELOW CEILING,68ae66df-27f3-4d17-a26e-813bedc778f1,52,new,abner,DUCTOWORK BELOW CEILING. CEILING 12'-2'',2025/09/16,vp0084.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 50 PIPES INSIDE BEAM ,d7739f76-6f9f-4e89-95a7-5954cc62f0e7,50,new,abner,PLUMBING PIPES INSIDE BEAM AND NOT SPACE BELOW,2025/09/16,vp0085.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 53 PL VS MD ,0adf65da-6b8d-45dc-aa81-44a8f4a5b1a5,53,new,abner,"PIPES AND DUCT IN CONFLICT WHIOUT SPACE TO CROSS IN THE LOCATION. CEILING AT 12'-2""",2025/09/16,vp0086.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 54 PL VS MD ,31559b50-7e62-4b07-bcb2-2a1842a3d744,54,new,abner,PIPES IN CONFLICT WITH DUCTS IN AN AREA WITHOUT SPACE TO CROSS ,2025/09/16,vp0087.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 55 PL VS MD VS FP ,db557b8e-06c0-4d08-a6f8-b000b287a2a2,55,new,abner,"CONFLICT BETWEEN TRADES PL, MD AND FP  ",2025/09/16,vp0088.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 56 PL VS MD VS EE VS FP ,267ddb0a-10b5-49b1-b56c-f5bac34bba8c,56,new,abner,"AREAS WITH CEILING 12'-2"" PL WILL HAVE CONFLICT CROSSING ",2025/09/16,vp0089.jpg
CLASHES ,LEVEL 9,PRIORITY,TAG 57 PL CONFLICT WITH CEILING ,63f3cdb9-ebc1-46ec-89e0-8df3dab97293,57,new,abner,PL BELOW CEILING ,2025/09/16,vp0090.jpg
CLASHES ,LEVEL 10,,TAG 58 PL EXPOSED ,a18fe9bb-aa9f-4888-96ed-9c776547bd03,58,new,abner,EXPOSED PIPES ,2025/09/16,vp0091.jpg
CLASHES ,LEVEL 10,,TAG 59 MD IN CONFLICT ,2c61ae6d-0acc-46f5-a323-28ac5f599f11,59,new,abner,PIPES IN CONFLICT WITH LOCATION ,2025/09/16,vp0092.jpg
CLASHES ,LEVEL 10,,TAG 60 PL OUT OF THE WALL ,649259f3-aee1-43c3-b234-9ee199cf550f,60,new,abner,PIPES OUT OF THE WALLS ,2025/09/16,vp0093.jpg
CLASHES ,LEVEL 10,,TAG 61 SHEARWALL PENETRATION,19cf8d59-efc5-4966-95c4-ba6a523eb839,61,new,abner,SHEARWALLS PENETRATIONS ,2025/09/16,vp0094.jpg
CLASHES ,LEVEL 10,,TAG 62 SHEARWALL PENETRATION ,18edead6-23b9-4133-a163-5abb0eebd3ad,62,new,abner,SHEARWALLS PENETRATIONS ,2025/09/16,vp0095.jpg
CLASHES ,LEVEL 10,,TAG 63 MD INSIDE THE SLAB,0be89d3b-b2c7-4008-8363-cbc20e2147be,63,new,abner,MECH PIPES IN THE SLAB,2025/09/16,vp0096.jpg
CLASHES ,LEVEL 11 -24,,TAG 64 PL VS MD  ,a9b432dc-25e8-4e35-8ba9-327461892a97,64,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0097.jpg
CLASHES ,LEVEL 11 -24,,TAG 65 PL VS MD ,e015d62f-de30-42e5-af31-9197cf60398b,65,new,abner,,2025/09/16,vp0098.jpg
CLASHES ,LEVEL 11 -24,,"TAG 66 MD VS EE,PL ",3da7c7d8-4f82-4900-becd-9d31bffdf784,66,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER ALSO LIGHTS IN CONFLICT,2025/09/16,vp0099.jpg
CLASHES ,LEVEL 11 -24,,TAG 67 MD VS EE,22a04ac4-e232-42b2-9415-0bb51698ee75,67,new,abner,LIGHTS IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0100.jpg
CLASHES ,LEVEL 11 -24,,TAG 68 MD VS PL ,8be0e2c5-dd66-4193-8245-6a33375c2ca5,68,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0101.jpg
CLASHES ,LEVEL 11 -24,,TAG 69 MD VS EE,094c3f73-931f-4a48-a709-cc7f30092659,69,new,abner,LIGHT IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0102.jpg
CLASHES ,LEVEL 11 -24,,TAG 70 PL VS MD ,fc4445cb-c584-4c66-8431-a2769d48b833,70,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0103.jpg
CLASHES ,LEVEL 11 -24,,TAG 71 PL VS MD ,9986feed-fa5f-4209-ab88-969c64dc2af4,71,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0104.jpg
CLASHES ,LEVEL 11 -24,,TAG 72 PL VS MD ,99f4ce92-12e1-4532-b8f5-d2e9bcdb20c9,72,new,abner,PLUMBING IN CONFLICT WITH DUCT AND NOT ENOUGH SPACE TO CROSS EACH OTHER,2025/09/16,vp0105.jpg
CLASHES ,LEVEL 26,,TAG 74 DUCTWORK BELOW CEILING ,395de29b-0037-4371-b0fb-7b05fceb0472,74,new,abner,DUCTWORK BELOW CEILING ,2025/09/16,vp0106.jpg
CLASHES ,LEVEL 26,,TAG 75 DUCTWORK BELOW CEILING ,ac35aee6-d692-42f0-bc11-befbc2a2c666,75,new,abner,,2025/09/16,vp0107.jpg
CLASHES ,LEVEL 26,,TAG 76 PL VS MD ,83661e0a-7dbf-4941-93ac-dc0b03a160df,76,new,abner,PIPES AND DUCT IN CONFLICT ,2025/09/16,vp0108.jpg
CLASHES ,ROOF,,TAG 78 PL VS MD ,d18c7724-a469-4646-b49f-c7186eeca158,78,new,abner,MECH PIPE AND PLUMBING IN CONFLICT ,2025/09/16,vp0109.jpg
